Segment,Product,Brand,Gender,Age,Order type,,,,,,,,,,,,,,,,,
student,Pizzas,Pizzahut,male,24,Multiple order combinations,,,,,,,,,,,,,,,,,
student,burgers,Mac Donalds,male,20,Single order,,,,,,,,,,,,,,,,,
home,Pizzas,Papa Jones,female,23,Multiple order combinations,,,,,,,,,,,,,,,,,
student,subs,Others,male,23,Single order,,,,,,,,,,,,,,,,,
home,subs,Subway,female,47,Multiple order combinations,,,,,,,,,,,,,,,,,
office,subs,Subway,male,52,Multiple order combinations,,,,,,,,,,,,,,,,,
home,burgers,Burger K,male,57,Multiple order combinations,,,,,,,,,,,,,,,,,
home,burgers,Burger K,female,56,Multiple order combinations,,,,,,,,,,,,,,,,,
student,subs,Others,female,22,Multiple order combinations,,,,,,,,,,,,,,,,,
student,burgers,Mac Donalds,male,22,Single order,,,,,,,,,,,,,,,,,
student,burgers,Burger K,male,22,Single order,,,,,,,,,,,,,,,,,
home,burgers,Burger K,female,42,Multiple order combinations,,,,,,,,,,,,,,,,,
home,Pizzas,Dominos,male,40,Single order,,,,,,,,,,,,,,,,,
office,burgers,Mac Donalds,female,43,Single order,,,,,,,,,,,,,,,,,
office,subs,Subway,male,25,Multiple order combinations,,,,,,,,,,,,,,,,,
student,Pizzas,Pizzahut,male,20,Single order,,,,,,,,,,,,,,,,,
office,subs,Subway,female,34,Multiple order combinations,,,,,,,,,,,,,,,,,
home,subs,Others,female,20,Multiple order combinations,,,,,,,,,,,,,,,,,
student,subs,Subway,female,19,Multiple order combinations,,,,,,,,,,,,,,,,,
student,Pizzas,Papa Jones,female,21,Single order,,,,,,,,,,,,,,,,,
student,burgers,Mac Donalds,male,18,Multiple order combinations,,,,,,,,,,,,,,,,,
home,burgers,Mac Donalds,female,63,Multiple order combinations,,,,,,,,,,,,,,,,,
student,Pizzas,Dominos,female,19,Single order,,,,,,,,,,,,,,,,,
student,Pizzas,Pizzahut,male,21,Single order,,,,,,,,,,,,,,,,,
student,subs,Others,male,20,Multiple order combinations,,,,,,,,,,,,,,,,,
home,burgers,Mac Donalds,female,39,Multiple order combinations,,,,,,,,,,,,,,,,,
home,subs,Subway,female,13,Single order,,,,,,,,,,,,,,,,,
student,subs,Subway,male,24,Single order,,,,,,,,,,,,,,,,,
home,subs,Others,female,26,Multiple order combinations,,,,,,,,,,,,,,,,,
student,subs,Subway,female,18,Single order,,,,,,,,,,,,,,,,,
home,Pizzas,Dominos,male,22,Multiple order combinations,,,,,,,,,,,,,,,,,
office,burgers,Burger K,male,46,Multiple order combinations,,,,,,,,,,,,,,,,,
home,Pizzas,Papa Jones,male,45,Multiple order combinations,,,,,,,,,,,,,,,,,
student,Pizzas,Pizzahut,female,22,Multiple order combinations,,,,,,,,,,,,,,,,,
student,burgers,Mac Donalds,female,18,Multiple order combinations,,,,,,,,,,,,,,,,,
office,subs,Others,male,40,Multiple order combinations,,,,,,,,,,,,,,,,,
home,Pizzas,Dominos,male,22,Multiple order combinations,,,,,,,,,,,,,,,,,
home,Pizzas,Papa Jones,female,19,Multiple order combinations,,,,,,,,,,,,,,,,,
student,subs,Others,male,22,Single order,,,,,,,,,,,,,,,,,
home,burgers,Burger K,female,38,Single order,,,,,,,,,,,,,,,,,
home,Pizzas,Dominos,male,22,Multiple order combinations,,,,,,,,,,,,,,,,,
home,subs,Others,male,46,Multiple order combinations,,,,,,,,,,,,,,,,,
office,Pizzas,Papa Jones,male,32,Single order,,,,,,,,,,,,,,,,,
home,burgers,Mac Donalds,male,13,Multiple order combinations,,,,,,,,,,,,,,,,,
student,subs,Others,male,20,Single order,,,,,,,,,,,,,,,,,
office,burgers,Mac Donalds,female,52,Single order,,,,,,,,,,,,,,,,,
office,Pizzas,Dominos,male,39,Single order,,,,,,,,,,,,,,,,,
home,burgers,Burger K,female,60,Multiple order combinations,,,,,,,,,,,,,,,,,
student,subs,Subway,male,24,Single order,,,,,,,,,,,,,,,,,
office,Pizzas,Pizzahut,male,45,Multiple order combinations,,,,,,,,,,,,,,,,,
student,Pizzas,Papa Jones,female,18,Single order,,,,,,,,,,,,,,,,,
office,Pizzas,Pizzahut,female,32,Multiple order combinations,,,,,,,,,,,,,,,,,
office,Pizzas,Papa Jones,female,27,Single order,,,,,,,,,,,,,,,,,
home,subs,Others,female,22,Multiple order combinations,,,,,,,,,,,,,,,,,
student,subs,Others,female,19,Single order,,,,,,,,,,,,,,,,,
student,Pizzas,Dominos,male,18,Single order,,,,,,,,,,,,,,,,,
student,burgers,Burger K,male,22,Single order,,,,,,,,,,,,,,,,,
home,burgers,Burger K,male,24,Multiple order combinations,,,,,,,,,,,,,,,,,
student,Pizzas,Papa Jones,female,23,Multiple order combinations,,,,,,,,,,,,,,,,,
home,Pizzas,Dominos,male,14,Single order,,,,,,,,,,,,,,,,,
student,Pizzas,Papa Jones,male,23,Single order,,,,,,,,,,,,,,,,,
home,burgers,Mac Donalds,female,41,Single order,,,,,,,,,,,,,,,,,
student,Pizzas,Papa Jones,female,21,Multiple order combinations,,,,,,,,,,,,,,,,,
student,subs,Subway,male,19,Single order,,,,,,,,,,,,,,,,,
student,subs,Others,male,20,Single order,,,,,,,,,,,,,,,,,
home,Pizzas,Papa Jones,female,23,Single order,,,,,,,,,,,,,,,,,
student,Pizzas,Dominos,male,21,Single order,,,,,,,,,,,,,,,,,
office,Pizzas,Papa Jones,male,33,Multiple order combinations,,,,,,,,,,,,,,,,,
office,Pizzas,Pizzahut,female,35,Single order,,,,,,,,,,,,,,,,,
student,Pizzas,Pizzahut,male,23,Single order,,,,,,,,,,,,,,,,,
home,burgers,Burger K,female,59,Single order,,,,,,,,,,,,,,,,,
office,burgers,Burger K,female,46,Single order,,,,,,,,,,,,,,,,,
student,burgers,Burger K,male,22,Single order,,,,,,,,,,,,,,,,,
home,Pizzas,Papa Jones,male,52,Multiple order combinations,,,,,,,,,,,,,,,,,
office,burgers,Mac Donalds,male,52,Single order,,,,,,,,,,,,,,,,,
student,Pizzas,Pizzahut,male,20,Multiple order combinations,,,,,,,,,,,,,,,,,
home,Pizzas,Pizzahut,male,13,Single order,,,,,,,,,,,,,,,,,
home,burgers,Burger K,female,62,Multiple order combinations,,,,,,,,,,,,,,,,,
student,burgers,Burger K,male,21,Multiple order combinations,,,,,,,,,,,,,,,,,
home,burgers,Burger K,female,21,Multiple order combinations,,,,,,,,,,,,,,,,,
student,subs,Others,male,23,Single order,,,,,,,,,,,,,,,,,
office,Pizzas,Pizzahut,male,44,Single order,,,,,,,,,,,,,,,,,
office,subs,Others,male,45,Multiple order combinations,,,,,,,,,,,,,,,,,
office,subs,Others,female,41,Single order,,,,,,,,,,,,,,,,,
home,Pizzas,Papa Jones,female,25,Multiple order combinations,,,,,,,,,,,,,,,,,
home,burgers,Mac Donalds,male,16,Single order,,,,,,,,,,,,,,,,,
student,subs,Others,male,20,Single order,,,,,,,,,,,,,,,,,
student,Pizzas,Papa Jones,male,24,Multiple order combinations,,,,,,,,,,,,,,,,,
student,burgers,Burger K,female,24,Single order,,,,,,,,,,,,,,,,,
office,Pizzas,Dominos,male,32,Single order,,,,,,,,,,,,,,,,,
student,burgers,Mac Donalds,female,23,Single order,,,,,,,,,,,,,,,,,
office,burgers,Burger K,male,32,Single order,,,,,,,,,,,,,,,,,
office,subs,Others,female,48,Single order,,,,,,,,,,,,,,,,,
home,subs,Others,male,46,Single order,,,,,,,,,,,,,,,,,
office,subs,Subway,male,36,Multiple order combinations,,,,,,,,,,,,,,,,,
student,burgers,Mac Donalds,female,20,Multiple order combinations,,,,,,,,,,,,,,,,,
office,subs,Others,male,29,Single order,,,,,,,,,,,,,,,,,
student,burgers,Burger K,female,18,Single order,,,,,,,,,,,,,,,,,
student,Pizzas,Dominos,male,20,Multiple order combinations,,,,,,,,,,,,,,,,,
home,burgers,Burger K,female,65,Single order,,,,,,,,,,,,,,,,,
office,Pizzas,Dominos,female,50,Multiple order combinations,,,,,,,,,,,,,,,,,
office,Pizzas,Papa Jones,male,44,Single order,,,,,,,,,,,,,,,,,
home,Pizzas,Dominos,male,35,Single order,,,,,,,,,,,,,,,,,
home,burgers,Mac Donalds,male,41,Single order,,,,,,,,,,,,,,,,,
office,Pizzas,Dominos,male,44,Multiple order combinations,,,,,,,,,,,,,,,,,

